lat,lon,anomaly
-73.50785340314135,231.875,1.748579
-73.50785340314135,236.875,1.8058643
-73.50785340314135,241.875,1.8286524
-73.50785340314135,246.875,1.9004297
-73.50785340314135,251.875,1.874485
-73.50785340314135,256.875,2.03576
-73.50785340314135,261.875,2.151678
-73.50785340314135,266.875,2.1086102
-73.50785340314135,271.875,2.1067972
-73.50785340314135,276.875,2.184206
-73.50785340314135,281.875,2.4503632
-73.50785340314135,286.875,2.3954105
-73.50785340314135,291.875,2.23989
-73.50785340314135,296.875,2.190112
-73.50785340314135,301.875,1.6719189
-73.50785340314135,306.875,1.6030788
-73.50785340314135,311.875,1.8059874
-73.50785340314135,316.875,1.9499407
-73.50785340314135,321.875,2.036994
-73.50785340314135,326.875,2.1218872
-73.50785340314135,331.875,2.258192
-73.50785340314135,336.875,2.4852505
-73.50785340314135,341.875,2.3735352
-73.50785340314135,346.875,2.1124992
-73.50785340314135,351.875,2.009739
-73.50785340314135,356.875,2.0555334
-69.73821989528795,1.875,2.7231102
-69.73821989528795,6.875,2.563118
-69.73821989528795,11.875,2.4774275
-69.73821989528795,16.875,2.6167698
-69.73821989528795,21.875,2.6604662
-69.73821989528795,26.875,2.5901423
-69.73821989528795,31.875,2.426817
-69.73821989528795,36.875,2.4644604
-69.73821989528795,41.875,1.8946085
-69.73821989528795,46.875,1.593051
-69.73821989528795,51.875,1.4966478
-69.73821989528795,56.875,1.4429884
-69.73821989528795,61.875,1.3597946
-69.73821989528795,66.875,1.3785839
-69.73821989528795,71.875,1.3858128
-69.73821989528795,76.875,1.3980608
-69.73821989528795,81.875,1.4367094
-69.73821989528795,86.875,1.4965858
-69.73821989528795,91.875,1.497715
-69.73821989528795,96.875,1.5422039
-69.73821989528795,101.875,1.5969982
-69.73821989528795,106.875,1.6135702
-69.73821989528795,111.875,1.5922403
-69.73821989528795,116.875,1.5430889
-69.73821989528795,121.875,1.505866
-69.73821989528795,126.875,1.523529
-69.73821989528795,131.875,1.5921907
-69.73821989528795,136.875,1.6673326
-69.73821989528795,141.875,1.7265959
-69.73821989528795,146.875,1.6670799
-69.73821989528795,151.875,1.4816122
-69.73821989528795,156.875,1.493185
-69.73821989528795,161.875,1.6260872
-69.73821989528795,166.875,1.5719671
-69.73821989528795,171.875,1.4269209
-69.73821989528795,176.875,1.4437466
-69.73821989528795,181.875,1.4257393
-69.73821989528795,186.875,1.4077148
-69.73821989528795,191.875,1.3750706
-69.73821989528795,196.875,1.3654194
-69.73821989528795,201.875,1.3677502
-69.73821989528795,206.875,1.380455
-69.73821989528795,211.875,1.4586906
-69.73821989528795,216.875,1.6121712
-69.73821989528795,221.875,1.7623138
-69.73821989528795,226.875,1.933239
-69.73821989528795,231.875,2.081108
-69.73821989528795,236.875,2.1635075
-69.73821989528795,241.875,2.2110786
-69.73821989528795,246.875,2.3203373
-69.73821989528795,251.875,2.4798565
-69.73821989528795,256.875,2.6398678
-69.73821989528795,261.875,2.7628422
-69.73821989528795,266.875,2.8365269
-69.73821989528795,271.875,2.8816185
-69.73821989528795,276.875,2.976656
-69.73821989528795,281.875,3.0181675
-69.73821989528795,286.875,2.8674755
-69.73821989528795,291.875,2.5362186
-69.73821989528795,296.875,2.4009228
-69.73821989528795,301.875,2.420085
-69.73821989528795,306.875,2.3351192
-69.73821989528795,311.875,2.3787231
-69.73821989528795,316.875,2.43079
-69.73821989528795,321.875,2.4509258
-69.73821989528795,326.875,2.5335693
-69.73821989528795,331.875,2.715866
-69.73821989528795,336.875,2.9149342
-69.73821989528795,341.875,3.0158024
-69.73821989528795,346.875,2.9406986
-69.73821989528795,351.875,2.8827229
-69.73821989528795,356.875,2.8235989
-65.96858638743456,1.875,2.7990036
-65.96858638743456,6.875,2.9362316
-65.96858638743456,11.875,3.1492233
